id,name,name_cn,location,website
m1,The British Museum,大英博物馆,"London, United Kingdom",https://www.britishmuseum.org
m2,The Metropolitan Museum of Art,大都会艺术博物馆,"New York, USA",https://www.metmuseum.org
m3,Musee du Louvre,卢浮宫,"Paris, France",https://www.louvre.fr
m4,The Palace Museum,故宫博物院,"Beijing, China",https://www.dpm.org.cn
m5,State Hermitage Museum,艾尔米塔什博物馆,"St. Petersburg, Russia",https://www.hermitagemuseum.org
m6,Freer Gallery of Art,弗利尔美术馆,"Washington D.C., USA",https://www.freersackler.si.edu
